R1099	F [0.37,0   Confidence: MEDIUM] 
R11	NA [0.37,0.37   Confidence: NA] 
R110	F [0.37,0   Confidence: MEDIUM] 
R1100	F [0.37,0   Confidence: MEDIUM] 
R1101	R [0,0.37   Confidence: MEDIUM] 
R1102	F [0.37,0   Confidence: MEDIUM] 
R1103	R [0,0.37   Confidence: MEDIUM] 
R1104	F [0.74,0   Confidence: HIGH] 
R1105	NA [0.37,0.37   Confidence: NA] 
R1106	F [0.37,0   Confidence: MEDIUM] 
R1107	NA [0.37,0.37   Confidence: NA] 
R1108	F [0.74,0   Confidence: HIGH] 
R1109	F [4.87,0   Confidence: HIGH] 
R111	F [0.37,0   Confidence: MEDIUM] 
R1110	R [0,0.37   Confidence: MEDIUM] 
R1111	F [0.37,0   Confidence: MEDIUM] 
R1112	NA [0.37,0.37   Confidence: NA] 
R1113	F [0.74,0   Confidence: HIGH] 
R1114	F [0.37,0   Confidence: MEDIUM] 
R1115	F [0.37,0   Confidence: MEDIUM] 
R1116	F [0.37,0   Confidence: MEDIUM] 
R1117	R [0,0.74   Confidence: HIGH] 
R1118	R [0,0.74   Confidence: HIGH] 
R1119	F [0.74,0   Confidence: HIGH] 
R112	F [0.37,0   Confidence: MEDIUM] 
R1120	NA [0.37,0.37   Confidence: NA] 
R1121	F [0.74,0   Confidence: HIGH] 
R1122	NA [0.37,0.37   Confidence: NA] 
R1123	F [0.37,0   Confidence: MEDIUM] 
R1124	R [0,0.74   Confidence: HIGH] 
R1125	NA [0.37,0.37   Confidence: NA] 
R1126	NA [0.37,0.37   Confidence: NA] 
R1127	NA [0.37,0.37   Confidence: NA] 
R1128	NA [0.37,0.37   Confidence: NA] 
R1129	NA [0.37,0.37   Confidence: NA] 
R113	F [0.37,0   Confidence: MEDIUM] 
R1130	F [0.37,0   Confidence: MEDIUM] 
R1131	NA [0.37,0.37   Confidence: NA] 
R1132	R [0,0.74   Confidence: HIGH] 
R1133	F [0.37,0   Confidence: MEDIUM] 
R1134	NA [0.37,0.37   Confidence: NA] 
R1135	F [5.24,0   Confidence: HIGH] 
R1136	F [0.37,0   Confidence: MEDIUM] 
R1137	F [0.37,0   Confidence: MEDIUM] 
R1138	R [0,0.74   Confidence: HIGH] 
R1139	R [0,0.74   Confidence: HIGH] 
R114	F [0.37,0   Confidence: MEDIUM] 
R1140	F [5.24,0   Confidence: HIGH] 
R1141	F [0.37,0   Confidence: MEDIUM] 
R1142	F [4.87,0.37   Confidence: HIGH] 
R1143	F [4.87,0.37   Confidence: HIGH] 
R1144	F [4.87,0   Confidence: HIGH] 
R1145	NA [0.37,0.37   Confidence: NA] 
R1146	R [0,0.37   Confidence: MEDIUM] 
R1147	R [0,0.74   Confidence: HIGH] 
R1148	F [0.37,0   Confidence: MEDIUM] 
R1149	NA [0,0   Confidence: NA] 
R115	R [0,0.37   Confidence: MEDIUM] 
R1150	R [0,0.74   Confidence: HIGH] 
R1151	NA [0.37,0.37   Confidence: NA] 
R1152	NA [0.37,0.37   Confidence: NA] 
R1153	F [0.37,0   Confidence: MEDIUM] 
R1154	NA [0.37,0.37   Confidence: NA] 
R1155	NA [0.37,0.37   Confidence: NA] 
R1156	F [0.74,0   Confidence: HIGH] 
R1157	R [0,0.37   Confidence: MEDIUM] 
R1158	F [0.74,0   Confidence: HIGH] 
R1159	R [0,0.37   Confidence: MEDIUM] 
R116	F [0.37,0   Confidence: MEDIUM] 
R1160	F [0.74,0   Confidence: HIGH] 
R1161	F [0.37,0   Confidence: MEDIUM] 
R1162	NA [0,0   Confidence: NA] 
R1163	F [0.37,0   Confidence: MEDIUM] 
R1164	F [0.37,0   Confidence: MEDIUM] 
R1165	F [0.37,0   Confidence: MEDIUM] 
R1166	F [0.74,0   Confidence: HIGH] 
R1167	NA [0,0   Confidence: NA] 
R1168	R [0,0.37   Confidence: MEDIUM] 
R1169	NA [0,0   Confidence: NA] 
R117	NA [0.37,0.37   Confidence: NA] 
R1170	R [0,0.37   Confidence: MEDIUM] 
R1171	F [0.37,0   Confidence: MEDIUM] 
R1172	NA [0.37,0.37   Confidence: NA] 
R1173	F [0.37,0   Confidence: MEDIUM] 
R1174	R [0,0.37   Confidence: MEDIUM] 
R1175	NA [0.37,0.37   Confidence: NA] 
R1176	R [0,0.37   Confidence: MEDIUM] 
R1177	NA [0.37,0.37   Confidence: NA] 
R1178	NA [0.37,0.37   Confidence: NA] 
R1179	R [0,0.37   Confidence: MEDIUM] 
R118	F [0.74,0   Confidence: HIGH] 
R1180	F [0.37,0   Confidence: MEDIUM] 
R1181	F [0.37,0   Confidence: MEDIUM] 
R1182	NA [0.37,0.37   Confidence: NA] 
R1183	NA [0,0   Confidence: NA] 
R1184	F [0.37,0   Confidence: MEDIUM] 
R1185	NA [0.37,0.37   Confidence: NA] 
R1186	F [0.74,0   Confidence: HIGH] 
R1187	F [0.74,0   Confidence: HIGH] 
R1188	R [0,0.37   Confidence: MEDIUM] 
R1189	NA [0.37,0.37   Confidence: NA] 
R119	NA [0.37,0.37   Confidence: NA] 
R1190	F [0.37,0   Confidence: MEDIUM] 
R1191	R [0,0.37   Confidence: MEDIUM] 
R1192	R [0,0.37   Confidence: MEDIUM] 
R1193	F [0.37,0   Confidence: MEDIUM] 
R1194	R [0,0.37   Confidence: MEDIUM] 
R1195	F [0.74,0   Confidence: HIGH] 
R1196	F [0.37,0   Confidence: MEDIUM] 
R1197	F [0.37,0   Confidence: MEDIUM] 
R1198	F [0.37,0   Confidence: MEDIUM] 
R1199	NA [0.37,0.37   Confidence: NA] 
R12	NA [0.37,0.37   Confidence: NA] 
R120	F [0.74,0   Confidence: HIGH] 
R1200	NA [0.37,0.37   Confidence: NA] 
R1201	NA [0,0   Confidence: NA] 
R1202	R [0,0.37   Confidence: MEDIUM] 
R1203	R [0,0.37   Confidence: MEDIUM] 
R1204	R [0,0.74   Confidence: HIGH] 
R1205	NA [0.37,0.37   Confidence: NA] 
R1206	R [0,0.37   Confidence: MEDIUM] 
R1207	NA [0.37,0.37   Confidence: NA] 
R1208	F [0.37,0   Confidence: MEDIUM] 
R1209	F [0.37,0   Confidence: MEDIUM] 
R121	NA [0.37,0.37   Confidence: NA] 
R1210	R [0,0.37   Confidence: MEDIUM] 
R1211	F [0.37,0   Confidence: MEDIUM] 
R1212	NA [0.37,0.37   Confidence: NA] 
R1213	R [0,0.37   Confidence: MEDIUM] 
R1214	F [0.37,0   Confidence: MEDIUM] 
R1215	NA [0.37,0.37   Confidence: NA] 
R1216	NA [0,0   Confidence: NA] 
R1217	F [0.37,0   Confidence: MEDIUM] 
R1218	F [0.37,0   Confidence: MEDIUM] 
R1219	NA [0.37,0.37   Confidence: NA] 
R122	NA [0.37,0.37   Confidence: NA] 
R1220	F [0.37,0   Confidence: MEDIUM] 
R1221	F [0.37,0   Confidence: MEDIUM] 
R1222	NA [0.37,0.37   Confidence: NA] 
